Time;ETH / Realized Market Cap (USD)
2015-07-30;0
2015-07-31;0
2015-08-01;0
2015-08-02;0
2015-08-03;0
2015-08-04;0
2015-08-05;0
2015-08-06;0
2015-08-07;0
2015-08-08;15004648.395467112
2015-08-09;17784185.661488015
2015-08-10;18781375.929245416
2015-08-11;18691143.03031576
2015-08-12;19836901.841488563
2015-08-13;22435295.688574735
2015-08-14;23944152.832940146
2015-08-15;29244297.675601147
2015-08-16;29373394.191504788
2015-08-17;24678554.549575917
2015-08-18;24982878.23828573
2015-08-19;25875465.570335742
2015-08-20;27725043.036267363
2015-08-21;27631832.494650763
2015-08-22;27929833.37807639
2015-08-23;28086536.4089084
2015-08-24;27778736.69918479
2015-08-25;28177358.815900613
2015-08-26;28028408.17718673
2015-08-27;27901450.274536647
2015-08-28;28601012.552956495
2015-08-29;28436543.41024135
2015-08-30;29092923.088965587
2015-08-31;29111665.198973596
2015-09-01;29888016.028420355
2015-09-02;29689046.544602938
2015-09-03;29525180.532223713
2015-09-04;29642562.800929654
2015-09-05;30149349.618762672
2015-09-06;30217814.355689064
2015-09-07;30078957.541402567
2015-09-08;30178453.125346232
2015-09-09;31164600.632861312
2015-09-10;31088624.26813058
2015-09-11;30135880.86026814
2015-09-12;31196120.0105898
2015-09-13;30154131.130066503
2015-09-14;30460216.79625842
2015-09-15;27656223.223862007
2015-09-16;27665025.665369455
2015-09-17;27431706.61371314
2015-09-18;27365018.51571128
2015-09-19;27618244.671157993
2015-09-20;27929618.831346426
2015-09-21;27994090.55310025
2015-09-22;27465822.990217414
2015-09-23;27946370.905902673
2015-09-24;27549998.50506916
2015-09-25;27264455.884176
2015-09-26;27680407.01127297
2015-09-27;27509926.07946596
2015-09-28;27190068.36909444
2015-09-29;27647692.55165951
2015-09-30;27853637.67144541
2015-10-01;27651889.41365643
2015-10-02;27747807.113632403
2015-10-03;27826966.552633226
2015-10-04;25432862.155741565
2015-10-05;25440685.996076535
2015-10-06;25666542.852652937
2015-10-07;25468477.695413087
2015-10-08;25702691.903468743
2015-10-09;25773839.349943418
2015-10-10;25813157.12193613
2015-10-11;25725405.82696211
2015-10-12;25944562.416228577
2015-10-13;25926865.532453492
2015-10-14;25621310.168466035
2015-10-15;24568101.72213754
2015-10-16;24546300.14511186
2015-10-17;24585527.622649174
2015-10-18;24507358.423113
2015-10-19;24723959.07451048
2015-10-20;24700914.91316535
2015-10-21;24763335.389194928
2015-10-22;25530439.039412513
2015-10-23;25776487.79331938
2015-10-24;25767705.50208722
2015-10-25;26053668.628951866
2015-10-26;26503355.34975624
2015-10-27;27762603.862263516
2015-10-28;28480648.02738368
2015-10-29;32649863.97510338
2015-10-30;33005979.15972855
2015-10-31;32292761.096397463
2015-11-01;32666653.24352572
2015-11-02;32568790.30505291
2015-11-03;32859799.095643587
2015-11-04;32138799.482367568
2015-11-05;32507994.44566452
2015-11-06;31447648.93829685
2015-11-07;31130055.093485627
2015-11-08;31396852.523830548
2015-11-09;32127262.893417113
2015-11-10;31989826.045370366
2015-11-11;31493579.23376457
2015-11-12;28492999.65000406
2015-11-13;28528410.377086584
2015-11-14;28503046.098271262
2015-11-15;28649278.57881284
2015-11-16;28369684.525747284
2015-11-17;28923425.354127966
2015-11-18;28946769.0205433
2015-11-19;28727416.169451945
2015-11-20;28691657.04119993
2015-11-21;28875551.68307153
2015-11-22;28960571.37233165
2015-11-23;29184200.43839725
2015-11-24;29234824.679751348
2015-11-25;29117421.237245962
2015-11-26;29726217.301145192
2015-11-27;29477617.837660216
2015-11-28;29617769.82139869
2015-11-29;29451959.784925897
2015-11-30;29469924.452188566
2015-12-01;29418080.48477891
2015-12-02;29312895.310912095
